  ,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q20 l20 aligned Count,RMHM viral q20 l30 aligned Count,RMHM viral q20 l40 aligned Count,RMHM viral q20 l50 aligned Count,RMHM viral q25 l20 aligned Count,RMHM viral q25 l30 aligned Count,RMHM viral q25 l40 aligned Count,RMHM viral q25 l50 aligned Count,RMHM viral q30 l20 aligned Count,RMHM viral q30 l30 aligned Count,RMHM viral q30 l40 aligned Count,RMHM viral q30 l50 aligned Count
27-1831-01A-01R-1850-01+1,34957818,4758203,2147776,,,,,,,,,,,,
27-1831-01A-01R-1850-01+2,57805303,5575828,2370190,,,,,,,,,,,,
27-1832-01A-01R-1850-01+1,39374901,3663943,127550,,,,,,,,,,,,
27-1832-01A-01R-1850-01+2,71050536,4734592,239565,,,,,,,,,,,,
27-1834-01A-01R-1850-01+1,40243783,2204192,652492,,,,,,,,,,,,
27-1834-01A-01R-1850-01+2,58266966,2807051,747166,,,,,,,,,,,,
27-1835-01A-01R-1850-01+1,59759789,2491921,581860,,,,,,,,,,,,
27-1835-01A-01R-1850-01+2,41202927,1824446,461707,,,,,,,,,,,,
27-1837-01A-01R-1850-01+1,58525688,8487224,3324474,,,,,,,,,,,,
27-1837-01A-01R-1850-01+2,45702958,7942092,3163616,,,,,,,,,,,,
27-2519-01A-01R-1850-01+1,38629675,1008215,114580,,,,,,,,,,,,
27-2519-01A-01R-1850-01+2,57112760,1725442,208401,,,,,,,,,,,,
27-2521-01A-01R-1850-01+1,45147008,1491649,345468,,,,,,,,,,,,
27-2521-01A-01R-1850-01+2,67112479,2191868,454267,,,,,,,,,,,,
27-2523-01A-01R-1850-01+1,65544995,1740788,231239,,,,,,,,,,,,
27-2523-01A-01R-1850-01+2,44843828,999721,130339,,,,,,,,,,,,
27-2524-01A-01R-1850-01+1,38080466,2368629,1136180,,,,,,,,,,,,
27-2524-01A-01R-1850-01+2,60427668,3087209,1303111,,,,,,,,,,,,
27-2526-01A-01R-1850-01+1,36626691,1162015,245215,,,,,,,,,,,,
