  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
SRR1314958,43579323,41120532,94.35,81381870,98.95
SRR1314998,42202242,39560064,93.73,78011798,98.59
SRR1315019,35166489,31819931,90.48,62967877,98.94
SRR1315145,33363156,31447886,94.25,62082900,98.70
SRR1315269,39780728,36578729,91.95,72216663,98.71
SRR1315371,35781706,33303899,93.07,64011211,96.10
SRR1315721,47069706,44814790,95.20,88610037,98.86
SRR1315761,42181646,38514978,91.30,76017643,98.68
SRR1315799,62519180,58846953,94.12,115301293,97.96
SRR1315842,96441753,87026223,90.23,171690573,98.64
SRR1315866,52824500,47385589,89.70,93875199,99.05
SRR1315949,61188024,58631665,95.82,116139302,99.04
SRR1315970,41217673,36948565,89.64,73117663,98.94
SRR1315994,57463841,54496289,94.83,107560262,98.68
SRR1316127,40214544,36329525,90.33,71753899,98.75
SRR1316254,44888855,40659520,90.57,80483219,98.97
SRR1316297,35880601,32349422,90.15,63773219,98.56
SRR1316392,60619973,57161217,94.29,112654615,98.54
SRR1316535,52219757,49762427,95.29,98411151,98.88
SRR1316624,37479445,33828313,90.25,66924738,98.91
SRR1316815,49182611,46265928,94.06,91458908,98.84
SRR1316874,68589158,65457508,95.43,129004630,98.54
SRR1316921,53521210,50010074,93.43,98548873,98.52
SRR1316940,70832020,67428843,95.19,133161789,98.74
SRR1316963,56989516,53218273,93.38,105063883,98.71
SRR1317323,34360625,31963446,93.02,62530827,97.81
SRR1317344,42502607,38293785,90.09,75706998,98.85
SRR1317494,40401301,37058859,91.72,73413236,99.04
SRR1317596,50298380,46881042,93.20,92776724,98.94
SRR1317808,40794556,36304523,88.99,71542686,98.53
SRR1317853,44297338,39499477,89.16,78074205,98.82
SRR1317877,58304283,55823237,95.74,110446301,98.92
SRR1318067,40647203,38115182,93.77,75063952,98.46
SRR1318163,35838695,33546255,93.60,66084020,98.49
SRR1318372,43977404,41475336,94.31,81971032,98.81
SRR1318407,36699804,32506580,88.57,64022247,98.47
SRR1318426,56821531,52713105,92.76,104147287,98.78
SRR1319019,37233917,33200319,89.16,65816988,99.12
SRR1319136,45529770,41097616,90.26,81463023,99.10
SRR1319158,42706276,38047689,89.09,75323012,98.98
SRR1319539,39365399,35081089,89.11,69388779,98.89
SRR1319672,39360009,34842541,88.52,68607122,98.45
SRR1319816,52874357,50424294,95.36,99659237,98.82
SRR1319837,38674422,34956020,90.38,69128397,98.87
SRR1319970,42862298,37309454,87.04,73683531,98.74
SRR1320012,43504526,34303652,78.85,67683486,98.65
SRR1320071,48635366,38209746,78.56,75416826,98.68
SRR1320093,32056334,29844036,93.09,58906357,98.69
SRR1320115,42720316,39123201,91.57,77629302,99.21
SRR1320180,61900047,54576364,88.16,107822562,98.78
SRR1320280,37605446,34965583,92.98,69212674,98.97
SRR1320342,42062419,38097827,90.57,75221082,98.72
SRR1320560,42121487,40295618,95.66,79787876,99.00
SRR1320873,44568156,40636633,91.17,80350375,98.86
SRR1320892,47595808,42752235,89.82,84546799,98.87
SRR1320916,37215228,32478520,87.27,64030803,98.57
SRR1320963,42254492,37862016,89.60,74983206,99.02
SRR1321046,47039133,43041107,91.50,84540911,98.20
SRR1321183,58540235,56002316,95.66,110737050,98.86
SRR1321244,47605406,41374197,86.91,81329507,98.28
SRR1321462,33736915,30682512,90.94,60667390,98.86
SRR1321552,52969149,48842738,92.20,96379655,98.66
SRR1321674,37548160,33507128,89.23,66240091,98.84
SRR1321786,67671343,63937151,94.48,125908799,98.46
