  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
32-2615-01A-01R-1850-01+1,83426741,62686201,75.13,122697633,97.86
32-2615-01A-01R-1850-01+2,53849457,44905951,83.39,88022775,98.00
32-2616-01A-01R-1850-01+1,50022239,47443137,94.84,93929943,98.99
32-2616-01A-01R-1850-01+2,78657046,66222919,84.19,130646020,98.64
32-2632-01A-01R-1850-01+1,71403265,49014646,68.64,93828733,95.71
32-2632-01A-01R-1850-01+2,48757754,36242686,74.33,69028816,95.23
32-2634-01A-01R-1850-01+1,80529422,64560495,80.17,127094475,98.43
32-2634-01A-01R-1850-01+2,53148440,47737942,89.82,94267828,98.73
32-2638-01A-01R-1850-01+1,52048304,46603592,89.53,91773216,98.46
32-2638-01A-01R-1850-01+2,80119595,63860953,79.70,125440602,98.21
32-4213-01A-01R-1850-01+1,32012478,20832753,65.07,38984241,93.56
32-4213-01A-01R-1850-01+2,67667776,45426709,67.13,87123647,95.89
32-5222-01A-01R-1850-01+1,66204022,54768597,82.72,107757914,98.37
32-5222-01A-01R-1850-01+2,38312019,36719887,95.84,72593875,98.84
41-2571-01A-01R-1850-01+1,44708804,36361825,81.33,70994168,97.62
41-2571-01A-01R-1850-01+2,74325634,54563091,73.41,106537285,97.62
41-2572-01A-01R-1850-01+1,45206755,34436361,76.17,61244434,88.92
41-2572-01A-01R-1850-01+2,68978346,48702534,70.60,88915119,91.28
41-3915-01A-01R-1850-01+1,69306157,47771144,68.92,91725908,96.00
41-3915-01A-01R-1850-01+2,42892987,32123690,74.89,61162782,95.19
41-4097-01A-01R-1850-01+1,63535024,38379403,60.40,70043456,91.25
41-4097-01A-01R-1850-01+2,42807214,29056199,67.87,52664037,90.62
41-5651-01A-01R-1850-01+1,32890865,31219467,94.91,61600177,98.65
41-5651-01A-01R-1850-01+2,51496854,41822358,81.21,82040959,98.08
4W-AA9R-01A-11R-A39C-08+1,67175835,65303328,97.21,129028297,98.79
4W-AA9S-01A-11R-A39C-08+1,34452044,33421028,97.00,66125510,98.92
4W-AA9T-01A-11R-A39C-08+1,35010860,34009244,97.13,67185010,98.77
76-4925-01A-01R-1850-01+1,73763038,60364428,81.83,118668688,98.29
76-4925-01A-01R-1850-01+2,44748848,42507052,94.99,83974725,98.77
76-4926-01B-01R-1850-01+1,70753244,57596431,81.40,112864696,97.97
76-4926-01B-01R-1850-01+2,40956195,38624564,94.30,75999219,98.38
76-4927-01A-01R-1850-01+1,38320027,25105011,65.51,46469894,92.55
76-4927-01A-01R-1850-01+2,57547242,33681127,58.52,62929296,93.41
76-4928-01B-01R-1850-01+1,43408198,41386270,95.34,81847851,98.88
76-4928-01B-01R-1850-01+2,74427115,61557320,82.70,121151967,98.40
76-4929-01A-01R-1850-01+1,55395435,45622654,82.35,89733138,98.34
76-4929-01A-01R-1850-01+2,34576692,33030376,95.52,65325205,98.88
76-4931-01A-01R-1850-01+1,41333547,39373917,95.25,77749147,98.73
76-4931-01A-01R-1850-01+2,64034049,52956740,82.70,104028606,98.22
76-4932-01A-01R-1850-01+1,63053813,51099525,81.04,100493073,98.33
76-4932-01A-01R-1850-01+2,37977666,35930251,94.60,71048494,98.87
